artist,song,lyrics,flg
I Don't Like Monday,ダイナマイト,ループしてる同じ　毎日を繰り返し　まるで機械みたい　息を止め動いてる　車の中レディオ　音楽が鳴り響く　こめかみから不意に　こだまするみたいだ　誰かの声が　　死んだ魚みたいな目　しているキミに教えてあげる　こんがらがるあれもこれも　その時は　　着火せよ　胸に隠してるダイナマイト　大気圏突破　打ち上げろ　ド派手に躓いてもいいんじゃない？　命もろともHIGHとなれ　そのキュートな胸にあるダイナマイト　クールなスタンスじゃいられない　その方がキミらしくていいんじゃない？　世界を愛で埋め尽せ　僕たちは今日も生きている　　クラクションの音が　僕を我に帰らせる　このままでは駄目だ　全て思い出したよ　善は急げ今だ　ハンドルを切り返し　貴方の元へと行くよ　フルスピード　エンジンフル回転だ　　過去の僕にはバイバイ　待ってるだけじゃ未来は来ない　どうせいつかは死神がさ　迎えに来る　　その日まで　胸に隠してるダイナマイト　大気圏突破　打ち上げろ　ド派手に躓いてもいいんじゃない？　命もろともHIGHとなれ　そのキュートな胸にあるダイナマイト　クールなスタンスじゃいられない　その方がキミらしくていいんじゃない？　世界を愛で埋め尽せ　僕たちは今日も生きている　　着火せよ　胸に隠してるダイナマイト　大気圏突破　打ち上げろ　ド派手に躓いてもいいんじゃない？　命もろともHIGHとなれ　そのキュートな胸にあるダイナマイト　クールなスタンスじゃいられない　その方が僕らしくていいんじゃない？　世界を愛で埋め尽せ　僕たちはSO生きている,0
I Don't Like Monday,愛言葉,出逢った頃とおんなじ様な　馬鹿みたく晴れた空だ　並んで歩いた緑道は　微かに夏の匂いがした　　現実は無情にも　僕らに押し寄せてくるけど　こうしてさ　いつまでも　二人で歩いていけるなら　　君が好きだとかなんて　柄でもないし言えないから　代わりに鼻歌を唄って　空でも見上げているんだよ　「やけにご機嫌な感じね」　そう君が笑ってくれたのなら　見慣れたこの風景だって　愛しさが溢れ出すのさ　　時にお互いの価値観や　未熟な気立てのせいで　心にもない言葉を言って　傷つけ合う日もあるけど　　「君」と呼ぶ　温もりに　触れてみようとするだけでも　戸惑いや恐れなど　効力を無くしてしまうんだ　　夏が終わるまでにきっとあの頃みたいに海へいこう　砂浜にでも寝転んで　二人未来の話をしよう　子供は何人欲しいとか　年老いたらどこに住みたいとか　まだ気が早いかもなって　君と笑い合いたいのさ　　悲しんだり　喜んだり　抱き合ったり　汚し合ったり　つまづいたり　転んだりもしながら　二人で探すのさ　僕らの合言葉　　君が好きだとかなんて　柄でもないし言えないから　代わりに鼻歌を唄って　空でも見上げているんだよ　僕の隣に君がいて　その君の隣に僕がいる　そんな単純な日常が　愛の言葉の意味なのかな,1
I Don't Like Monday,AITAI,週末の予定はなんにもないよ　あのコとの約束は　キャンセルだし　　巷で有名な占いによれば　運気はそれなりのはずなのにな　　Uh　やらなきゃならない仕事は　終わりそうもないし　Uh　ひとつもヤル気になれない　疲れてんのかな？　　とりあえずこんな日は　君に会いたいのさ　　特別なこと何かするわけじゃないけど　その腕に抱かれて眠っていたいのさ　　とりあえずこんな日は　君が恋しいのさ　　久々の友人は羽振りもよくて　お仕事も恋愛も好調とか　　誰かと比べたって　意味は無いとわかってるけど　それでも比べちゃうよ　仕方ないよね　　Uh　焦ることはないよと　言い聞かせるけど　Uh　考え出すとため息　疲れてんのかな？　　とりあえずこんな日は　君に会いたいのさ　　どんな日も能天気に笑ってられないから　その腕に抱かれて眠っていたいのさ　　とりあえずこんな日は　君が恋しいのさ　　Uh　どんなに雨の日が続いていても　またいつの日か　Uh　明日の空に虹を探すよ　Alright　　とりあえずこんな日は　君に会いたいのさ　　特別なこと何かするわけじゃないけど　その腕に抱かれて眠っていたいのさ　　とりあえずこんな日は　君が恋しいのさ,0
I Don't Like Monday,A GIRL IN THE CITY,"You have sophisticated eyes　You make me sweeter when you smile　Your voice is like a song　I wanna play back in the morning　　I know you are out of my league　But there must be a chance I believe　That is why I want to know about you　more oh you baby　　I'm waiting for your call every day　Getting ready for you to stay　I dream of you on my couch　from the dawn to the sunset　　It must have been a busy day　You say you wanna try champagne　I like the way you are　So kiss me, can you kiss me slowly？　　She is like NEW YORK CITY　She is like PARIS, BABY　She is like LONDON　I'm in Love with a girl in the city　　I can't stop my feeling　Hey do you think about me？　I know you don't　I'm in Love with a girl in the city　　Tell me what taste you like　You've already occupied my life　A whole world would admit that　you are such a charming lady　　It must have been a busy day　You say you wanna try champagne　I like the way you are　So kiss me, can you kiss me slowly？　　She is like NEW YORK CITY　She is like PARIS, BABY　She is like LONDON　I'm in Love with a girl in the city　　I can't stop my feeling　Hey do you think about me？　I know you don't　I'm in Love with a girl in the city　　You have sophisticated eyes　You make me sweeter when you smile　Your voice is like a song　I wanna play back in the morning　　I know you are out of my league　But there must be a chance I believe　That is why I want to know about you　more oh you baby　　She is like NEW YORK CITY　She is like PARIS, BABY　She is like LONDON　I'm in Love with a girl in the city　　I can't stop my feeling　Hey do you think about me？　I know you don't　I'm in Love with a girl in the city　　I'm in Love with a girl in the city",0
I Don't Like Monday,Up to U,"珍しいね You drink a lot today　彼氏と喧嘩でもしたのかい？　話さなくても君のことなら　わかってしまう気がしてるよ　　こんな風にさ　二人きりだと　It's gonna be a little problem, don't you think？　だけど僕には　君の近くに　いられる理由が欲しいのさ　　If you want me to take you home　Baby it's up to you　独りでいたくないなら　Of course I'll be with you　この先はアナタ次第　二人の行方は　So you know darling, I've been falling in love　　大丈夫さ He is a good man　君たちはお似合いだとか　思ってもないことばかりを　並べてしまうオトコだけど　　君の仕草や　君の香りが　いちいち胸を締め付けるよ　上辺ばかりの優しさはいらない　今だけは僕をみてよ　　If you want me to take you home　Baby it's up to you　独りでいたくないなら　Of course I'll be with you　この先はアナタ次第　二人の行方は　So you know darling, I've been falling in love　　明日も明後日も来年もこのまま　二人でいられたならさ　Baby, it's up to you　Baby, it's up to you　もう気づいてるだろう？　You know about my feelings for you　　If you want me to take you home　Baby it's up to you　独りでいたくないなら　Of course I'll be with you　この先はアナタ次第　二人の行方は　So you know darling, I've been falling in love　　If you want me to take you home　Baby it's up to you　独りでいたくないなら　Of course I'll be with you　この先はアナタ次第　二人の行方は　So you know darling, I've been falling in love",0
I Don't Like Monday,WE ARE YOUNG,"Maybe it's all right, We can dance all night　あの夏のように baby you and I　Runaway tonight, runaway tonight　今　夜を越えていこう　'cause we are young forever you and I　　君とみた星空を　今ふと思い出した　あの夜はそう Full of stars baby　I said I love you, I love you　　大人になるたび肝心な　コトほど忘れてしまうから　今宵は２人で取り戻そう　You and I, we are young　　Maybe it's all right, We can dance all night　あの夏のように baby you and I　Runaway tonight runaway tonight　今　夜を越えていこう　　周りなどみえぬほど　駆け抜けた感覚が　君に会うと記憶の底から　目覚める気がするんだ　　愛し合おうよ　このまま　愛に溺れるのも　悪くはない　今宵は２人で燃え尽きよう　You and I, we are young　　Maybe it's all right, We can dance all night　あの夏のように baby you and I　Runaway tonight runaway tonight　明日へと走り出そう　'cause we are young forever you and I　　Maybe it's all right, We can dance all night　あの夏のように baby you and I　Runaway tonight runaway tonight　今　夜を越えていこう　　Nanana….　　We are young forever you and I　We are young forever you and I　Cuz we are young forever till we die",0
I Don't Like Monday,美しき世界,泣いていようと　笑ってようと　命という旋律が紡いだ奇妙な世界　嗚呼　皆んな皆んな　踊ってる　僕たちは　散りゆく運命の日まで　　午前零時過ぎて　シケた煙草に火をつけて　歌うハッピーバースデー　今宵独り　狭いベランダから　月に愚痴ばかりこぼしても　君は戻らないから　　この世界は僕など　目もくれずに今日も　理不尽なビートを　刻んで来るよ　ここはまるで狂気的なダンスホールさ　　泣いていようと　笑ってようと　命という旋律が紡いだ奇妙な世界　我を忘れ　踊ってる　僕たちは　散りゆく運命の日まで　　愛があれば全て　解決できるかもしれない　だけど肝心な愛がわからない　そんなこと考えて　空けた缶ビールなんかじゃ　酔えるはずもないだろう　　今頃君のことだから　イカした彼氏なんかと　アツイ夜を過ごしたりしてんだろう？　なんて浅はかなイマジネーション展開して　自暴自棄だぜ　　泣いていようと　笑ってようと　命という旋律が紡いだ奇妙な世界　幸か不幸か決めるのは　他でもない　僕という人間だ　　我武者羅に　つまずいたって　転んだって　踊るのさ　音楽は此処に鳴り響く　きっとずっとずっと　望んでた　僕たちは　この美しき世界を,0
I Don't Like Monday,ENTERTAINER,合い鍵は近々　ポストに入れといてなんて　味気ない最後　　どんなに情熱的な恋をしたって　結局終わりが来る　不思議と涙は出ないな　　今日も　私は踊るよこの世界で　お客はどこにもいない baby　悲しみや切なさを隠すのは　お手のモノ　Cause I'm an entertainer　　外見褒められて　テンション上げちゃうような　安い女じゃない　　帰り道に猫　眺めてたら　ちょっと救われた気がした夜　変だな涙が溢れる　　今日も私は踊るよこの世界で　誰よりも美しくあれ baby　悲しみや切なさを隠すのは　お手のモノ　Cause I'm an entertainer　　今日も私は踊るよこの世界で　お客はどこにもいない baby　悲しみや切なさを隠すのはお手のモノ　　それでも私は踊るのよこの舞台で　誰一人見ていないなら baby　せめて自分を笑わせられたなら　私の勝ち　Cause I'm an entertainer,0
I Don't Like Monday,音楽のように,霧雨の夜　君を連れ出し　期待と共に　走るハイウェイ　遠ざかる街　眺める君は　相変わらず綺麗だ　　いつだって　歪んでたのは景色ではない　そう　捻くれた僕の方だよな　　鳴らした心臓のメロディーを聴かしてよ　僕らはきっと　僕らはきっと　取り戻せるから　二人して奏でよう　色褪せぬ高鳴りを　あの日聴いた　音楽のように　　君には見えて　僕には見えず　僕には聞こえ　君には聞こえない　何故ゆえ神は　こんな辺鄙な　場所に心　創った？　　そうやって　愛されたくて空回りだ　もう　猿芝居の猿みたいだな　　枯らしたあの花の種をもう一回撒こう　僕らはきっと　僕らはきっと　やり直せるから　二人して育てよう　愛情の水をやろう　もう二度と枯らさぬように　　あゝ　誰もが孤独をもって　生まれては死にゆく宿命だ　でも君と　でも君と　未来をみたいんだ　　このままこの道を走り抜けたら　二人はきっと　二人はきっと　辿り着けるから　投げやりなんかじゃない　無くした微笑みを　取り戻してみせるよ　　鳴らした心臓のメロディーを聴かしてよ　僕らはきっと　僕らはきっと　取り戻せるから　二人して奏でよう　色褪せぬ高鳴りを　永遠の　音楽のように,1
I Don't Like Monday,On my way,なあ最近調子はどうだい？　それなりには元気にやってるかい？　こちらは変わらずに走り続けているよ　　たまには立ち止まりたくもなって　ボンヤリと空ばかりみるような　そんな日もあるけど　諦めたくないのさ　　I can feel you and I know now　I'm just driving to the future on my way　　夏の夜　僕は星の下　貴方を想い出すのさ　いまでも色褪せない home　home home for me　But I'm going my way　But I'm still on my way　But I'm going my way　明日への旅路を走り出すのさ　　誰かに無理だと笑われたって　逃げ出してしまいたい夜だって　まだやれると背中を押される気がするから　　昨日よりも高い壁もあって　ぶつかるたび途方にくれたって　明日の物語を今迎えに行くのさ　　can feel you and I know now　I'm just driving to the future on my way　　夏の夜　僕は星の下　貴方を想い出すのさ　いまでも色褪せない home　home home for me　But I'm going my way　But I'm still on my way　But I'm going my way　Tonight is the night　we are gonna make history　　Tonight is the night　夏の夜　僕は星の下　貴方を想い出すのさ　いまでも色褪せない home　home home for me　But I'm going my way　But I'm still on my way　But I'm going my way　明日への旅路を走り出すのさ,1
